seq_id,seq_type,hydration_count_pocket_3A_mean,hydration_count_pocket_3A_std,hydration_count_pocket_3A_min,hydration_count_pocket_3A_max,hydration_count_pocket_3A_early20_mean,hydration_count_pocket_3A_late20_mean,hydration_count_pocket_3A_drift20,hydration_count_pocket_3A_slope,hydration_count_pocket_3A_slope_per_ns,hydration_count_pocket_4A_mean,hydration_count_pocket_4A_std,hydration_count_pocket_4A_min,hydration_count_pocket_4A_max,hydration_count_pocket_4A_early20_mean,hydration_count_pocket_4A_late20_mean,hydration_count_pocket_4A_drift20,hydration_count_pocket_4A_slope,hydration_count_pocket_4A_slope_per_ns,hydration_count_pocket_5A_mean,hydration_count_pocket_5A_std,hydration_count_pocket_5A_min,hydration_count_pocket_5A_max,hydration_count_pocket_5A_early20_mean,hydration_count_pocket_5A_late20_mean,hydration_count_pocket_5A_drift20,hydration_count_pocket_5A_slope,hydration_count_pocket_5A_slope_per_ns,hydration_count_pocket_6A_mean,hydration_count_pocket_6A_std,hydration_count_pocket_6A_min,hydration_count_pocket_6A_max,hydration_count_pocket_6A_early20_mean,hydration_count_pocket_6A_late20_mean,hydration_count_pocket_6A_drift20,hydration_count_pocket_6A_slope,hydration_count_pocket_6A_slope_per_ns,hydration_count_pocket_8A_mean,hydration_count_pocket_8A_std,hydration_count_pocket_8A_min,hydration_count_pocket_8A_max,hydration_count_pocket_8A_early20_mean,hydration_count_pocket_8A_late20_mean,hydration_count_pocket_8A_drift20,hydration_count_pocket_8A_slope,hydration_count_pocket_8A_slope_per_ns,n_frames
pair_0584_nb,False Positive,21.628361858190708,2.9789444490335573,11.0,30.0,19.285714285714285,22.036734693877552,2.751020408163267,3.3660791793760905,0.0073215425326288,68.37734311328444,5.36342545685633,50.0,88.0,66.82040816326531,67.67755102040816,0.857142857142847,1.1199796118283258,0.002436062233449322,113.06601466992664,6.4167703065373125,90.0,135.0,111.82448979591837,111.8,-0.024489795918370305,-0.08627541552845941,-0.00018765723877859665,167.81825590872046,8.233871199925082,136.0,194.0,166.28571428571428,166.67755102040817,0.39183673469389646,-0.39600041413473863,-0.0008613385843061159,352.31866340668296,12.056184776601285,312.0,395.0,350.48571428571427,349.5265306122449,-0.9591836734693402,-3.5176763855594384,-0.007651280882130376,1227
pair_0602_nb,False Positive,20.224123879380603,2.9590200162446587,12.0,31.0,18.273469387755103,21.20408163265306,2.930612244897958,2.9202472065815557,0.006351815566245909,69.07660961695191,5.971597996962967,52.0,87.0,64.55918367346939,71.18775510204081,6.628571428571419,7.1484673032660915,0.01554859663570656,113.68948655256723,7.150534963631678,91.0,137.0,107.81632653061224,116.28163265306122,8.465306122448979,10.547573727929413,0.02294197656972138,170.04237978810107,8.978458157224205,144.0,195.0,163.7265306122449,174.38367346938776,10.657142857142873,14.388768984493838,0.03129694178247708,358.4841075794621,12.971803164607453,319.0,398.0,353.8489795918367,363.55510204081634,9.706122448979613,16.34871737693429,0.03556001604553407,1227
pair_0684_nb,False Positive,20.25672371638142,3.1630677480768705,12.0,33.0,22.37142857142857,18.844897959183672,-3.5265306122448976,-4.752562458686078,-0.01033727560344987,73.01792991035045,6.705931976175203,52.0,96.0,78.29387755102042,71.64897959183673,-6.64489795918368,-6.750563462166401,-0.014683117916620775,120.86226568867156,7.813834454644196,95.0,149.0,126.18367346938776,120.61632653061224,-5.567346938775515,-4.425579191322287,-0.009626055881070763,181.64058679706602,9.580972159887004,155.0,218.0,187.56326530612245,182.33877551020407,-5.224489795918373,-3.0662535938134616,-0.006669393352503456,385.039934800326,15.840202512710208,337.0,438.0,387.74285714285713,392.2612244897959,4.51836734693876,12.74850075261025,0.02772920228952744,1227
pair_0736_nb,False Positive,18.290138549307255,2.8646043656172027,8.0,28.0,16.632653061224488,20.461224489795917,3.828571428571429,5.04297444310824,0.010968949305292526,66.12061939690301,6.3770516349178,46.0,88.0,64.24489795918367,70.97142857142858,6.7265306122449005,9.541640451406861,0.020753975968258537,111.20211898940505,7.548370209548373,92.0,137.0,108.82448979591837,118.10204081632654,9.277551020408168,12.360400754999482,0.026885047862967876,166.4604726976365,9.764831902027062,136.0,199.0,165.36326530612246,175.1265306122449,9.763265306122435,12.959231620780004,0.028187561981033185,355.8524857375713,15.518222847909358,306.0,409.0,351.3591836734694,369.2857142857143,17.926530612244903,23.625972619322575,0.051388738704344905,1227
pair_0748_nb,False Positive,20.51833740831296,2.761998704668566,12.0,31.0,21.514285714285716,19.771428571428572,-1.7428571428571438,-1.909646950136585,-0.004153663839340042,71.15647921760392,6.514728844976568,52.0,95.0,75.39183673469388,66.27755102040817,-9.114285714285714,-9.659732564529357,-0.021010837551994257,117.24042379788101,8.75558152308317,88.0,152.0,124.6,109.16326530612245,-15.43673469387754,-18.226380382756073,-0.03964411176238405,174.7041564792176,12.611284865193728,137.0,218.0,186.21632653061224,162.29795918367347,-23.918367346938766,-30.1312647834155,-0.06553836820753778,361.9331703341483,21.475759537957963,307.0,429.0,384.0326530612245,339.0122448979592,-45.0204081632653,-57.41176142653486,-0.12487604442965718,1227
pair_0765_nb,False Positive,19.971475142624286,2.912749372654437,11.0,29.0,19.89387755102041,20.771428571428572,0.8775510204081627,1.8424217325167442,0.004007442593837401,73.2844335778321,5.739078972287459,55.0,98.0,75.13877551020408,72.72244897959183,-2.4163265306122526,-1.1203379976585446,-0.0024368417567341956,120.57049714751426,6.419500395468208,99.0,143.0,123.16734693877551,118.6,-4.567346938775515,-4.208994687925584,-0.00915496397591209,178.46943765281173,8.058648303481277,154.0,216.0,181.4612244897959,174.48979591836735,-6.971428571428561,-5.908324904629547,-0.012851168906208892,370.86878565607174,13.136791268549459,330.0,416.0,377.069387755102,360.41632653061225,-16.65306122448976,-16.49019217444629,-0.03586773719292288,1227
pair_0776_nb,False Positive,21.614506927465364,2.751403550353124,13.0,34.0,21.559183673469388,21.26530612244898,-0.29387755102040813,-0.1790177042600132,-0.0003893805421642473,73.04156479217603,5.4872512982165444,56.0,92.0,73.2734693877551,71.0530612244898,-2.2204081632653043,-1.6813870328042497,-0.003657176797834148,119.98451507742462,6.261791210654352,95.0,140.0,119.90612244897959,118.09795918367347,-1.8081632653061206,-0.8803309892245319,-0.0019148036742241067,177.7954360228199,7.813726582008911,155.0,208.0,179.27755102040817,175.4734693877551,-3.804081632653066,-2.3263222446102767,-0.005059972255813542,366.9641401792991,11.731665095245438,329.0,422.0,370.3265306122449,367.0979591836735,-3.2285714285713993,-0.8758232918933119,-0.0019049990035743627,1227
pair_0782_nb,False Positive,19.88671556642217,2.6949276910087656,12.0,29.0,18.346938775510203,20.15918367346939,1.8122448979591859,1.6350835835397377,0.0035564623894284654,71.039934800326,6.196000181702525,51.0,91.0,73.73061224489796,69.46122448979592,-4.269387755102031,-5.809593590468529,-0.01263641890259604,119.64955175224124,7.799614813669757,91.0,150.0,124.8,117.24489795918367,-7.5551020408163225,-10.696367560507474,-0.023265617314861278,177.90138549307252,10.344792170786905,150.0,216.0,185.48979591836735,173.4408163265306,-12.04897959183674,-15.907345316693606,-0.034599989813362944,372.3838630806846,15.720827512457626,326.0,427.0,387.14285714285717,367.130612244898,-20.012244897959192,-24.939209799065,-0.054245154538477454,1227
pair_0811_nb,False Positive,19.989405052974735,3.1574883844397243,10.0,30.0,19.722448979591835,17.624489795918368,-2.097959183673467,-1.1185062478596397,-0.002432857526611508,74.33659331703342,6.867590811444386,56.0,98.0,76.63265306122449,70.75510204081633,-5.877551020408163,-5.417638954150502,-0.011783880270039165,122.88590057049714,8.526483316731756,98.0,157.0,127.42857142857143,116.63673469387756,-10.791836734693874,-10.388458383440977,-0.022595885553977117,184.54686226568867,10.836942740941021,152.0,228.0,189.18775510204082,175.21632653061224,-13.97142857142859,-14.2644409579255,-0.031026516493584566,385.8549307253464,16.752578355462724,333.0,450.0,393.29795918367347,370.9510204081633,-22.346938775510182,-22.36405629046773,-0.04864395060460626,1227
pair_0868_nb,False Positive,20.768541157294212,2.57571026415055,13.0,30.0,21.077551020408162,20.975510204081633,-0.10204081632652873,0.010202049966948682,2.2190429509404916e-05,68.2518337408313,4.857981725978958,51.0,83.0,67.69795918367348,70.21632653061225,2.518367346938774,2.2388601737773084,0.004869733928825029,110.34637326813366,5.161435532598118,93.0,125.0,110.21224489795918,112.7673469387755,2.5551020408163225,2.2295501063211294,0.004849483646157976,163.21515892420538,6.526929860340232,139.0,182.0,162.84081632653061,165.3877551020408,2.546938775510199,1.699577104720341,0.0036967419352264058,351.2469437652812,9.548579349570524,313.0,381.0,351.38367346938776,353.48979591836735,2.1061224489795904,0.3907759451430776,0.0008499748670866364,1227
